catalogNumber,institutionCode,Collector,identifiedBy,individualCount,DA,MO,YE,Country col.,countryCode,stateProvince,County,Locality col.,verbatimLocality,lat,lon,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,Elevation,typeStatus,kingdom,phylum,family,genus,specificEpithet,Authorship,Full name
MW0860993,Lomonosov Moscow State University,Kluikov,Kluikov,1,12,9,2015,Tadjikistan ,TJ,Sughd region,Asht district,"Kuramin Range, Valley Pangaz","Согдийская область, Аштский район, Кураминский хребет, долина реки Пангаз",40.83333,70.27833,WGS84,1500,Kluikov,1960,,Plants,Magnoliophyta,Apiaceae,Seseli,tenuisectum,(Regel & Schmalh.) Korov.,Libanotis tenuisecta
MW0862059,Lomonosov Moscow State University,Kurbonov,Kurbonov,1,26,7,2015,Tadjikistan,TJ,Sughd region,Asht district,"Kuramin Range, Valley Pangaz","Согдийская область, Аштский район, Кураминский хребет, долина реки Пангаз",40.8456,70.29077,WGS84,100,Kurbonov,2179,,Plantae,Magnoliophyta,Apiaceae,Angelica,tschimganica,(Korov.) Tikhomirov,Angelica tschimganica
MW0862366,Lomonosov Moscow State University,Kurbonov,Kurbonov,1,29,5,2015,Tadjikistan,TJ,Sughd region,Khujand,"Mogul-tau ridge, Chashma-Arzanak kishlak","Согдийский область, хребет Могол-тау, кишлак Чашма-Арзанак",40.3334,69.62325,WGS84,100,Kurbonov,670,,Plante,Magnoliophyta,Apiaceae,Ferula,conocaula,Korov.,Ferula conocaula
MW0862365,Lomonosov Moscow State University,Kurbonov,Kurbonov,1,29,5,2015,Tadjikistan,TJ,Sughd region,Khujand,"Mogul-tau ridge, Chashma-Arzanak kishlak","Согдийский область, хребет Могол-тау, кишлак Чашма-Арзанак",40.33341,69.62325,WGS84,100,Kurbonov,670,,Plantae,Magnoliophyta,Apiaceae,Ferula,conocaula,Korov.,Ferula conocaula
MW0805137,Lomonosov Moscow State University,Pimenov,Pimenov,4,28,5,1976,Tadjikistan,TJ,Sughd region,Khujand,ridge Mogoltau vs Leninabad,хреберт Моголтау против Ленинабада,40.3315,69.631,WGS84,3000,Unknown,no data,,Plantae,Magnoliophyta,Poaceae,Enneapogon,persicus,Boiss.,Enneapogon persicus
MW0806021,Lomonosov Moscow State University,Pavlov,Pavlov,1,28,7,1982,Tadjikistan ,TJ,Districts of Republic Subordination,Lakhsh,"Peter the Great Range, Fortambek Glacier, the base of the Pamir Brandy Plateau wall, Suloev glade, at the edge of Burevestnik","Хребет Петра Первого, ледник Фортамбек, основание стены Памирского фирнового плато, поляна Сулоева, у ребра Буревестник",38.9764,71.9028,Pulkovo42,1500,Maxim Shashkov,4000,,Plantae,Magnoliophyta,Poaceae,Poa,,,Poa spp
MW0814149,Lomonosov Moscow State University,Pimenov,Pimenov,1,13,5,1979,Tadjikistan,TJ,Khatlon region,Shaartuz district,"Ridge Koiki-Tau, against Santa","Хребет Койки-Тау, против Сантова",37.14942,67.98168,WGS84,10000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Amaryllidaceae,Allium,gypsodictyum,Vved.,Allium gypsodictyum
MW0803864,Lomonosov Moscow State University,Trofimov,Trofimov,3,26,10,1954,Tadjikistan,TJ,Districts of Republican Subordination,Varzob district,"surroundings of Stalinabad, Kondar gorge, Varzob river","окрестности г. Сталинабад, ущелье Кондара, река Варзоб",38.81176,68.80508,WGS84,1500,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Poaceae,Muhlenbergia,huegelii,Trin.,Muhlenbergia huegelii
MW0804494,Lomonosov Moscow State University,Trofimov,Trofimov,5,8,10,1954,Tadjikistan,TJ,Gorno-Badakhshan region,Murghab district,Chechekty village,"Горно-Бадахшанская АО, пос. Чечекты",38.33982,74.01492,WGS84,3000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Poaceae,Calamagrostis,,,Calamagrostis spp
MW0837790,Lomonosov Moscow State University,Pimenov,Pimenov,3,19,6,1973,Tadjikistan ,TJ,Gorno-Badakhshan region,Darvaz District,"Darvaz Ridge, Khaburavat Pass, r. Ziddara dara","Дарвазский хребет, перевал Хабурават, р. Зидда-дара",38.6208,70.74569,WGS84,8000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Crassulaceae,Pseudosedum,condensatum,Boriss.,Pseudosedum condensatum
MW0804695,Lomonosov Moscow State University,Ikonnikov,Ikonnikov,2,27,7,1956,Tadjikistan,TJ,Gorno-Badakhshan region,Murghab district,"Pamir, the river Chechektinki","Памир, берег реки Чечектинки",38.34193,74.00194,WGS84,5000,Maxim Shashkov,3860,,Plantae,Magnoliophyta,Poaceae,Calamagrostis,pseudophragmites,(Haller f.) Koeler,Calamagrostis pseudophragmites
MW0804858,Lomonosov Moscow State University,Pavlov,Pavlov,10,12,7,1977,Tadjikistan,TJ,Districts of Republican Subordination,Lakhsh,"Peter the Great Ridge, Fortambek Glacier, the base of the wall of the Pamir Brandy Plateau, 1.5 km below the Suloev glade, at the edge of the Petrel","Хребет Петра Первого, ледник Фортамбек, основание стены Памирского фирнового плато,1.5 км ниже поляны Сулоева, у ребра Буревестник",38.97528,71.88487,WGS84,1500,Maxim Shashkov,3800,,Plantae,Magnoliophyta,Poaceae,Trisetum,spicatum,(L.) K.Richt.,Trisetum spicatum
MW0806416,Lomonosov Moscow State University,Pavlov,Pavlov,2,21,7,1981,Tadjikistan,TJ,Districts of Republican Subordination,Lakhsh,"The ridge of Peter the Great, Fortambek glacier, the base of the wall of the Pamir firn plateau, Suloev glade, U slope of the town of Bely Kamen","Хребет Петра Первого, ледник Фортамбек, основание стены Памирского фирнового плато, поляна Сулоева, Ю склон г. Белый Камень",38.97808,71.89778,WGS84,1500,Maxim Shashkov,4150,,Plantae,Magnoliophyta,Poaceae,Poa,litvinoviana,Vahl,Poa glauca
MW0801052,Lomonosov Moscow State University,Kluikov,Kluikov,1,7,7,1976,Tadjikistan,TJ,Sughd region,Penjikent district,"Hissar Ridge, near Iskanderkul lake, valley Arch, left tributary Sarytat","Гиссарский хр., басс. оз. Искандеркуль, долина р. Арх, левый приток Сарытата",39.07738,68.28005,WGS84,3500,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Ephedraceae,Ephedra,equisetina,Bunge,Ephedra equisetina
MW0800858,Lomonosov Moscow State University,Pimenov,Pimenov,2,17,8,1975,Tadjikistan,TJ,Districts of Republican Subordination,Tajikabad district,"The ridge of Peter the Great, the northern slope above Tajikabad, near to. Safidou","Хребет Петра Первого, северный склон выше Таджикабада, недалеко от к. Сафидоу",39.03447,70.75747,WGS84,2000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Cupressaceae,Juniperus,sibirica,L.,Juniperus communis
MW0801145,Lomonosov Moscow State University,Pimenov,Pimenov,2,20,7,1987,Tadjikistan,TJ,Districts of Republican Subordination,Lakhsh,"The backbone of Peter the Great, against Dzhirgitala, the neighborhood of Sary-Obi-Shirin","Хребет Петра Первого, против Джиргиталя, окрестности Сары-Оби-Ширин",39.20341,71.2178,WGS84,10000,Maxim Shashkov,no data,,Plants,Magnoliophyta,Ephedraceae,Ephedra,gerardiana,Wall. ex Stapf,Ephedra gerardiana
MW0801169,Lomonosov Moscow State University,Pimenov,Pimenov,1,26,7,1975,Tadjikistan,TJ,Sughd regionn,Penjikent district,"near Iskanderkul lake, near the beginning of Iskander-Darya, the mountain Khazar-Sword","окр. оз. Искандеркуль, близ начала Искандер-Дарьи, гора Хазар-Меч",39.08233,68.41577,WGS84,2000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Ephedraceae,Ephedra,intermedia,Schrenk & C.A.Mey.,Ephedra intermedia
MW0803739,Lomonosov Moscow State University,Schukin,Schukin,5,24,7,1932,Tadjikistan,TJ,Sughd region,Penjikent district,"the southern slope of the Hissar Range, when climbing to the Mura Pass","южный склон Гиссарского хребта, при подъеме к перевалу Мура",38.9718,68.19644,WGS84,1000,Maxim Shashkov,2700,,Plantae,Magnoliophyta,Poaceae,Piptatherum,laterale,(Regel) Nevski,Piptatherum laterale
MW0805651,Lomonosov  Moscow State University,Lipschitz,Lipschitz,1,31,7,1931,Tadjikistan,TJ,Gorno-Badakhshan region,Roshtkala district,"Shugnan, rocks over the river Gunt, near the village ?? Dabasta","Шугнан, скалы над рекой Гунт, в районе кишлака ?? Дабаста",37.67645,71.86344,WGS84,1000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Poaceae,Melica,canescens,Kunth,Melica persica
MW0805651,Lomonosov Moscow State University,Pavlov,Pavlov,1,7,7,1981,Tadjikistan,TJ,Districts of Republican Subordination,Lakhsh,"The ridge of Peter the Great, Fortambek glacier, below the Suloev glade","Хребет Петра Первого, ледник Фортамбек, ниже поляны Сулоева",38.97594,71.89084,WGS84,1500,Maxim Shashkov,3800,,Plantae,Magnoliophyta,Poaceae,Festuca,olgae,(Regel) Krivot.,Festuca olgae
MW0807223,Lomonosov Moscow State University,Pavlov,Pavlov,6,3,7,1977,Tadjikistan,TJ,Districts of Republican Subordination,Lakhsh,"The ridge of Peter the Great, Fortambek glacier, 1 km above the Suloev glade","Хребет Петра Первого, ледник Фортамбек, 1 км выше поляны Сулоева",38.98624,71.90835,WGS84,1500,Maxim Shashkov,4000,,Plantae,Magnoliophyta,Poaceae,Festuca,pamirica,Tzvelev,Festuca pamirica
MW0812448,Lomonosov Moscow State University,Trofimov,Trofimov,4,30,9,1954,Tadjikistan,TJ,Gorno-Badakhshan region,Khorog,neighborhood of Khorog Bot. Sada,"Горно-Бадахшанская АО, окрестности Хорогского бот. Сада",37.4743,71.6041,WGS84,1500,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Juncaceae,Juncus,bufonius,L.,Juncus bufonius
MW0814136,Lomonosov Moscow State University,Pimenov,Pimenov,2,15,5,1979,Tadjikistan  ,TJ,Khatlon region,Dangara district,"Kyzyl-Su valley at the confluence of Obi-Mazar, against the settlement of Baljuan","долина Кызыл-Су при впадении в нее Оби-Мазара, против пос. Бальджуан",38.30533,69.68754,WGS84,1500,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Amaryllidaceae,allium,griffithianum,Boiss.,Allium griffithianum
MW0817161,Lomonosov Moscow State University,Trofimov,Trofimov,2,3,10,1954,Tadjikistan,TJ,Gorno-Badakhshan region,Khorog,"near the city of Khorog, on the river Gunt, near the village of Chart","Горно-Бадахшанская АО,  близ г. Хорог, по р. Гунт, у кишлака Чартым",37.53989,71.67521,WGS84,10000,Maxim Shashkov,no data,,Plantae,Magnoliophyta,Salicaceae,Populus,pamirica,(C.-Y. Yang) Kom.,Populus pamirica
MW0592701,Lomonosov Moscow State University,Lipschitz,Lipschitz,2,22,7,1931,Tadjikistan,TJ,Gorno-Badakhshan region,Roshtkala district,"Shumgan, slope above the river Gunt, area ?? Demin's kishlak","Шумган, склон над рекой Гунт, район ?? Кишлака Демина",37.69697,71.90981,WGS84,3500,Maxim Shashkov,no data,Isotypus,Plantae,Magnoliophyta,Brassicaceae,Parrya,schugnana,Lipsch.,Parrya schugnana
MW0800654,Lomonosov  Moscow State University,Rusanovich,Rusanovich,2,9,7,1979,Tadjikistan,TJ,Sughd region,Isravshansky district,"Turkestan Ch., Sowing macro slope R. Kusavlisay","Туркестанский хр., сев. макросклон, верх. р. Кусавлисай",39.54526,68.62943,WGS84,3500,Maxim Shashkov,no data,,Plants,Magnoliophyta,Cupressaceae,Juniperus,,,Juniperus SP2
MW0894120,Lomonosov Moscow State University,Rukavishnikov,Rukavishnikov,7,9,8,1969,Tadjikistan,TJ,Gorno-Badakhshan region,Murghab district,"Pamir, Sauksai gorge, pr. Bolshaya Saukarda glacier pr.","Памир, ущелье Сауксай, пр. склон ледника Большая Саукарда, склон Ю эксп.",38.3903,73.42829,WGS84,10000,Maxim Shashkov,4120-4170,,Plantae,Magnoliophyta,Poaceae,,,,Poaceae
